"CHARACTER DESCRIPTION"
"Main antagonist. Cunning, perspicacious, can weigh words. He pretends to be interested in other people. Beneath the elegy hides an unscrupulousness."

"","","","","DIA_King_HELLO1"
"Rezenhart","Wie lange muss ich warten? Ich will jetzt raus aus diesem muffigen Loch.                                                                                                                     ","DIA_King_HELLO1_03_01"

"","","","","DIA_King_HELLO2"
"(COMBINED: This dialogue contains speeches which are used in combination to create another dialogues depend of player decisions. That's why, not all speeches are sequential. Partially this dialogue is sequential, but please don't treat in this way enterily dialogue.)"
"Romulus","","Warum hast du mich hergebracht?                                                                                                                     ","DIA_King_HELLO2_15_01"
"Rezenhart","Weil ich dich treffen wollte. Dein Name ist jeden Tag auf den Straßen zu hören.                                                                                                                     ","DIA_King_HELLO2_03_02"
"Rezenhart","Und ich kann sehen, dass du sehr selbstbewusst auftrist. Gegenüber dem König und dem Arenaleiter.                                                                                                                     ","DIA_King_HELLO2_03_03"
"Rezenhart","Woher nimmst du die Kraft dafür?                                                                                                                     ","DIA_King_HELLO2_03_04"
"Rezenhart","Du hast ein riesiges Training durchlaufen, du hast Elite-Waffen erworben. Du hast sogar den Nachschub übernommen.                                                                                                                     ","DIA_King_HELLO2_03_05"
"Romulus","","Ich will der Champion aller Arenen werden!                                                                                                                     ","DIA_King_HELLO2_15_06"
"Rezenhart","Du weißt nicht einmal, welche Bestien dich in den nächsten Arenen erwarten werden. Denn sie können kaum als Menschen bezeichnet werden…                                                                                                                     ","DIA_King_HELLO2_03_07"
"Romulus","","So viele Leute haben mir Angst gemacht.                                                                                                                     ","DIA_King_HELLO2_15_08"
"Rezenhart","…und wenn man die Freiheit wollte, musste man fliehen. Relativ wenige Leute würden sich an dich erinnern.                                                                                                                     ","DIA_King_HELLO2_03_09"
"Rezenhart","Du hast eine erstaunliche Gelegenheit. Die Person, die dich gefangen genommen hat, ist gestorben.                                                                                                                     ","DIA_King_HELLO2_03_10"
"Rezenhart","Die Zuschauer waren mit ihrem Leben und Besitz beschäftigt.                                                                                                                     ","DIA_King_HELLO2_03_11"
"Romulus","","Ich will nicht mein Leben lang rennen. Trotz der Drohungen mache ich weiter.                                                                                                                     ","DIA_King_HELLO2_15_12"
"Rezenhart","Und es werden immer mehr. Aber ich helfe dir bei einem. Der Weg zur nächsten Arena ist sehr gefährlich geworden.                                                                                                                     ","DIA_King_HELLO2_03_13"
"Rezenhart","Einige Rebellen haben beschlossen, ihre Krallen zu zeigen. Die würden dich immer noch entführen.                                                                                                                     ","DIA_King_HELLO2_03_14"
"Rezenhart","In Ordnung, ihr könnt ihn mitnehmen. Es ist Zeit für die Spiele!                                                                                                                     ","DIA_King_HELLO2_03_15"
"Romulus","","Ich werde dir zeigen, dass du sie nicht unterschätzen solltest!                                                                                                                     ","DIA_King_HELLO2_15_16"

"","","","","DIA_King_HELLO3"
"Rezenhart","Es gibt also niemanden, der hinter dir ist? Gut zu wissen.                                                                                                                     ","DIA_King_HELLO3_03_01"
"Rezenhart","Bestrafe mich nicht dafür, dass Proxemo Sklaven für die Arenen gefunden hat.                                                                                                                     ","DIA_King_HELLO3_03_02"
"Rezenhart","Denn hätte ich je damit gerechnet, so berühmt und reich zu werden?                                                                                                                     ","DIA_King_HELLO3_03_03"
"Rezenhart","Okay, du kannst ihn rausnehmen. Es ist Zeit für die Spiele!                                                                                                                     ","DIA_King_HELLO3_03_04"

"","","","",""

