"CHARACTER DESCRIPTION"
"The arena champion from Labos, who fights Romulus in a showpiece duel. Confident. He despises the spectators, but not Romulus."

"","","","","DIA_FLAMMA_HELLO1"
"(just before fight)"
"Flamma","Gesegnet seien diejenigen, die sterben werden.                                                                                                                     ","DIA_FLAMMA_HELLO1_03_01"
"Romulus","","Bereit?                                                                                                                     ","DIA_FLAMMA_HELLO1_15_02"
"Flamma","Schon immer mein Junge.                                                                                                                     ","DIA_FLAMMA_HELLO1_03_03"
"Flamma","Das ist der Repräsentant, den Proxemo ausgewählt hat, um gegen mich zu kämpfen?                                                                                                                     ","DIA_FLAMMA_HELLO1_03_04"
"Flamma","Sei froh, dass dieser Kampf nicht bis zum Tod geht.                                                                                                                     ","DIA_FLAMMA_HELLO1_03_05"
"Romulus","","Das könnte ich dir auch sagen.                                                                                                                     ","DIA_FLAMMA_HELLO1_15_06"
"Flamma","Denkst du? Ich schätze, sie wollen einen Kampf, also geben wir diesen dreckigen Hyänen, was sie wollen!                                                                                                                     ","DIA_FLAMMA_HELLO1_03_07"
"Flamma","Ich gebe dir keinen Vorsprung!                                                                                                                     ","DIA_FLAMMA_HELLO1_03_08"

"","","","","DIA_FLAMMA_HELLO2"
"(when Flamma lost)"
"Flamma","Ich habe dich unterschätzt, herzlichen Glückwunsch, Junge.                                                                                                                     ","DIA_FLAMMA_HELLO2_03_01"
"Romulus","","Danke für den Kampf.                                                                                                                     ","DIA_FLAMMA_HELLO2_15_02"
"Flamma","Entschuldigung, aber ich muss meine Waffe aufsammeln…                                                                                                                     ","DIA_FLAMMA_HELLO2_03_03"

"","","","","DIA_FLAMMA_DEFEAT"
"(when Flamma won)"
"Flamma","Ich habe dir keinen Vorsprung gegeben, weil die Zuschauer es bemerkt hätten.                                                                                                                     ","DIA_FLAMMA_DEFEAT_03_01"
"Romulus","","Ooh..                                                                                                                     ","DIA_FLAMMA_DEFEAT_15_02"
"Flamma","Aber du kannst an ihren Jubeln das Potenzial erkennen. Nimm einen Schluck.                                                                                                                     ","DIA_FLAMMA_DEFEAT_03_03"

"","","","","DIA_FLAMMA_HELLO3"
"(Flamma speaks after the fight)"
"Romulus","","Wie erging es dir so, nach dem Kampf?                                                                                                                     ","DIA_FLAMMA_HELLO3_15_01"
"Flamma","Ziemlich gut. Ich mag diesen Ort.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_02"
"Flamma","Ich glaube, ich bleibe länger hier. Ich habe es nicht eilig, nach Hause zu kommen.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_03"
"Romulus","","Wo wohnst du?                                                                                                                     ","DIA_FLAMMA_HELLO3_15_04"
"Flamma","Im Süden.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_05"
"Flamma","Speziell auf der Insel Labos.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_06"
"Flamma","Von vielen eine Wüste am Meer genannt.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_07"
"Romulus","","Ich weiß, ich war einmal mit meinem Vater dort.                                                                                                                     ","DIA_FLAMMA_HELLO3_15_08"
"Flamma","Wie kommst du hierher? Warum hast du dich entschieden, Gladiator zu werden?                                                                                                                     ","DIA_FLAMMA_HELLO3_03_09"
"Romulus","","Ich tat es nicht, ich wurde dazu gezwungen.                                                                                                                     ","DIA_FLAMMA_HELLO3_15_10"
"Romulus","","Eines Tages griffen Rezenharts Männer mein Dorf an, weil wir dagegen waren, ihn als Herrscher anzuerkennen.                                                                                                                     ","DIA_FLAMMA_HELLO3_15_11"
"Romulus","","Sie haben meine Lieben getötet und mich hierher geschleppt.                                                                                                                     ","DIA_FLAMMA_HELLO3_15_12"
"Flamma","Das tut mir leid.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_13"
"Flamma","Nun, ich bin froh, dass ich dich nicht in dieser Arena töten musste.                                                                                                                     ","DIA_FLAMMA_HELLO3_03_14"
"Romulus","","Ich bin derjenige, der gewonnen hat.                                                                                                                     ","DIA_FLAMMA_HELLO3_15_15"
