"CHARACTER DESCRIPTION"
"Initially, he mocks Romulus. He is responsible for allowing gladiators into the arena."

"","","","","DIA_Arenamaster_SIEMANOWY"
"Arena manager","Oh, ein neuer Gladiator, wie ich sehe.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_03_01"
"Romulus","","Noch nicht, aber ich werde es sicher bald sein.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_15_02"
"Arena manager","Du bist wahrscheinlich hier, um dir die Regeln erklären zu lassen.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_03_03"
"Romulus","","Genau.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_15_04"
"Arena manager","Das ist unter anderem mein Job.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_03_05"
"Arena manager","Zuerst. Jeder Kampf geht bis zum Tod.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_03_06"
"Arena manager","In der Arena kannst du kämpfen, mit was du willst und wie du willst.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_03_07"
"Arena manager","Jeder Fluchtversuch während des Kampfes führt zu deinem Tod.                                                                                                                     ","DIA_Arenamaster_SIEMANOWY_03_08"

"","","","","DIA_Arenamaster_ELOPOKA1"
"Arena manager","Die meisten Kämpfe beginnen mit einem Gespräch mit deinem Gegner.                                                                                                                     ","DIA_Arenamaster_ELOPOKA1_03_01"
"Arena manager","Das ist so brauch hier.                                                                                                                     ","DIA_Arenamaster_ELOPOKA1_03_02"
"Arena manager","Einige Kämpfe beginnen jedoch, wenn du deine Position einnimmst.                                                                                                                     ","DIA_Arenamaster_ELOPOKA1_03_03"
"Arena manager","Stelle dich dort hin wo der Kreis auf den Boden der Arena gemalt ist.                                                                                                                     ","DIA_Arenamaster_ELOPOKA1_03_04"
"Arena manager","Den Gladiator anzugreifen, bevor das Spiel beginnt, ist dein Tod!                                                                                                                     ","DIA_Arenamaster_ELOPOKA1_03_05"

"","","","","DIA_Arenamaster_1WALKA"
"Romulus","","Ich bin bereit für meinen ersten Kampf.                                                                                                                     ","DIA_Arenamaster_1WALKA_15_01"
"Arena manager","ES war schön dich zu treffen. Rein in die Arena!                                                                                                                     ","DIA_Arenamaster_1WALKA_03_02"

"","","","","DIA_Arenamaster_NAGRODA1"
"Romulus","","Ich möchte mein Geld für den ersten Kampf abholen.                                                                                                                     ","DIA_Arenamaster_NAGRODA1_15_01"
"Arena manager","Hier sind deine 100 Gold. Geben sie weise aus, Gladiator.                                                                                                                     ","DIA_Arenamaster_NAGRODA1_03_02"

"","","","","DIA_ARENAMASTER_GLADIATOR1"
"Arena manager","Da bist du ja! Ich dachte, du kommst nicht.                                                                                                                     ","DIA_ARENAMASTER_GLADIATOR1_03_01"
"Romulus","","Da hast du falsch gedacht.                                                                                                                     ","DIA_ARENAMASTER_GLADIATOR1_15_02"
"Arena manager","Hehe, gut gebellt. Betritt die Arena, dein Gegner wartet auf dich!                                                                                                                     ","DIA_ARENAMASTER_GLADIATOR1_03_03"

"","","","","DIA_ARENAMASTER_NAGRODAFOR1GLADIATOR"
"Romulus","","Ich möchte meine Belohnung für den Sieg über Dyadys abholen!                                                                                                                     ","DIA_ARENAMASTER_NAGRODAFOR1GLADIATOR_15_01"
"Arena manager","Nur zu, es war ein guter Kampf, aber etwas zu kurz.                                                                                                                     ","DIA_ARENAMASTER_NAGRODAFOR1GLADIATOR_03_02"

"","","","","DIA_ARENAMASTER_2WALKA"
"Arena manager","Hallo nochmal, Phamart wartet schon auf dich.                                                                                                                     ","DIA_ARENAMASTER_2WALKA_03_01"
"Romulus","","Ich freue mich schon.                                                                                                                     ","DIA_ARENAMASTER_2WALKA_15_02"
"Arena manager","Dein Vertrauen verlässt dich anscheinend nicht. Geh jetzt in die Arena, die Zuschauer wollen einen Kampf.                                                                                                                     ","DIA_ARENAMASTER_2WALKA_03_03"

"","","","","DIA_ARENAMASTER_NAGRODAFOR2GLADIATOR"
"Romulus","","Ich möchte meine Belohnung für den Sieg über Phamart abholen.                                                                                                                     ","DIA_ARENAMASTER_NAGRODAFOR2GLADIATOR_15_01"
"Arena manager","Bitte, Gladiator.                                                                                                                     ","DIA_ARENAMASTER_NAGRODAFOR2GLADIATOR_03_02"

"","","","","DIA_ARENAMASTER_KOLOSFIGHT"
"Romulus","","Ich bin bereit für einen weiteren Kampf.                                                                                                                     ","DIA_ARENAMASTER_KOLOSFIGHT_15_01"
"Arena manager","Weißt du was, ich dachte, du würdest lange in dieser Arena durchhalten, aber jetzt, wo ich mir angesehen habe, wer dein nächster Gegner ist, kann ich nur sagen: Tschüß.                                                                                                                     ","DIA_ARENAMASTER_KOLOSFIGHT_03_02"
"Romulus","","Das werden wir sehen, ich überrasche gerne.                                                                                                                     ","DIA_ARENAMASTER_KOLOSFIGHT_15_03"

"","","","","DIA_ARENAMASTER_KOLOSNAGRODA"
"Arena manager","Unmöglich.                                                                                                                     ","DIA_ARENAMASTER_KOLOSNAGRODA_03_01"
"Romulus","","So? Was denn?                                                                                                                     ","DIA_ARENAMASTER_KOLOSNAGRODA_15_02"
