"CHARACTER DESCRIPTION"
"Tragor's pal."

"","","","","DIA_ROBERT_HELLO1"
"Robert","Ja, das habe ich auch gehört.                                                                                                                     ","DIA_ROBERT_HELLO1_03_01"
"Robert","Ich kann dir sagen, dass ich schon lange nicht mehr einen so kräftigen Anfall von Aufregung und Adrenalin erlebt hatte.                                                                                                                     ","DIA_ROBERT_HELLO1_03_02"
"Robert","Ich bin dabei und helfe dir.                                                                                                                     ","DIA_ROBERT_HELLO1_03_03"
"Robert","Ich bin sowieso so selbstbewusst, ich würde deine Gegner selbst ficken.                                                                                                                     ","DIA_ROBERT_HELLO1_03_04"
"Romulus","","Nun, willkommen.                                                                                                                     ","DIA_ROBERT_HELLO1_15_05"
"Robert","Und was ist die Bezahlung?                                                                                                                     ","DIA_ROBERT_HELLO1_03_06"
"Robert","Weißt du, ohne Wasser wächst nicht einmal Gras, und ohne Geld bekommt niemand einen Schlag ins Gesicht, zumindest nicht von mir.                                                                                                                     ","DIA_ROBERT_HELLO1_03_07"
"Robert","Nun, es sei denn, du hast das Geld und ich werde es dir wegnehmen, indem ich dir ins Gesicht schlage…                                                                                                                     ","DIA_ROBERT_HELLO1_03_08"
"Romulus","","IN ORDNUNG! Du wirst etwas bekommen. Ich bin mir sicher, dass die Bezahlung sowieso fair sein wird, also teile ich, keine Sorge.                                                                                                                     ","DIA_ROBERT_HELLO1_15_09"
"Robert","Ich warte dann in der Arena.                                                                                                                     ","DIA_ROBERT_HELLO1_03_10"

"","","","","DIA_ROBERT_WON"
"(are two options for dialogue)"
"Robert","Ich lasse mich nicht verarschen. Gib mir das Gold, ich will mich betrinken.                                                                                                                     ","DIA_ROBERT_WON_03_01"
"Robert","Ha! Siehst du? Ich habe den Kampf überstanden. Jetzt gib mir meinen Anteil.                                                                                                                     ","DIA_ROBERT_WON_03_02"

"","","","",""

